event_time,func_id,trigger_type,exec_time,cold_start_flag
2592000.001,1118---631---pool24-600-512,APIG,0.003585,0
2592000.002,1529---631---pool23-400-256,APIG,0.001342,0
2592000.003,1179---502---pool23-400-256,unknown,0.118214,0
2592000.004,1111---818---pool24-600-512,APIG,0.003052,0
2592000.005,1529---631---pool23-400-256,APIG,0.000995,0
2592000.006,1542---502---pool22-300-128,unknown,0.011868,0
2592000.007,1529---631---pool23-400-256,APIG,0.00109,0
2592000.007,1008---631---pool22-300-128,unknown,0.034358,0
2592000.007,1118---631---pool24-600-512,APIG,0.00368,0
2592000.008,1529---631---pool23-400-256,APIG,0.000881,0
2592000.01,1118---631---pool24-600-512,APIG,0.002738,0
2592000.011,1179---502---pool23-400-256,unknown,0.012095,0
2592000.012,886---631---pool24-600-512,APIG,0.001017,0
2592000.012,1529---631---pool23-400-256,APIG,0.000957,0
2592000.012,1578---735---pool26-1000-1024,LTS,0.001841,0
2592000.012,1542---502---pool22-300-128,unknown,0.004828,0
2592000.013,1111---818---pool24-600-512,APIG,0.002958,0
2592000.013,1411---741---pool24-600-512,APIG,0.000154,0
2592000.015,1529---631---pool23-400-256,APIG,0.000989,0
2592000.016,1118---631---pool24-600-512,APIG,0.00297,0
2592000.016,1411---741---pool24-600-512,APIG,0.00016,0
2592000.016,532---418---pool24-600-512,workflow,0.001276,0
2592000.016,1363---735---pool22-300-128,LTS,0.004248,0
2592000.016,1118---631---pool24-600-512,APIG,0.003877,0
2592000.017,1118---631---pool24-600-512,APIG,0.002477,0
2592000.019,1578---735---pool26-1000-1024,LTS,0.002292,0
2592000.021,1578---735---pool26-1000-1024,LTS,0.002104,0
2592000.022,1529---631---pool23-400-256,APIG,0.001418,0
2592000.023,1688---830---pool22-300-128,KAFKA,0.000882,0
2592000.025,1363---735---pool22-300-128,LTS,0.002251,0
2592000.026,2111---418---pool22-300-128,workflow,0.000821,0
2592000.027,1118---631---pool24-600-512,APIG,0.002453,0
2592000.028,1578---735---pool26-1000-1024,LTS,0.001599,0
2592000.028,1118---631---pool24-600-512,APIG,0.005169,0
2592000.03,1118---631---pool24-600-512,APIG,0.005157,0
2592000.03,860---830---pool23-400-256,KAFKA,0.002549,0
2592000.031,77---735---pool22-300-128,LTS,0.001144,0
2592000.032,1363---735---pool22-300-128,LTS,0.001824,0
2592000.034,1118---631---pool24-600-512,APIG,0.002486,0
2592000.039,1118---631---pool24-600-512,APIG,0.002482,0
2592000.04,1363---735---pool22-300-128,LTS,0.00409,0
2592000.04,1578---735---pool26-1000-1024,LTS,0.001757,0
2592000.041,1529---631---pool23-400-256,APIG,0.001988,0
2592000.041,1118---631---pool24-600-512,APIG,0.003226,0
2592000.041,1529---631---pool23-400-256,APIG,0.002178,0
2592000.042,1529---631---pool23-400-256,APIG,0.000964,0
2592000.045,1118---631---pool24-600-512,APIG,0.002616,0
2592000.045,1111---818---pool24-600-512,APIG,0.003149,0
2592000.047,612---63---pool22-300-128,workflow,0.58341,0
2592000.048,1232---418---pool22-300-128,workflow,0.001169,0
