dataset_size,policy_name,func_id,trigger_type,total_invocations,total_cold_starts,total_idle_memory_mbs
100k,Baseline60sPolicy,1118---631---pool24-600-512,APIG,28683,1,30720.0
100k,Baseline60sPolicy,1529---631---pool23-400-256,APIG,29371,1,15360.0
100k,Baseline60sPolicy,1179---502---pool23-400-256,unknown,2229,1,15360.0
100k,Baseline60sPolicy,1111---818---pool24-600-512,APIG,4800,1,30720.0
100k,Baseline60sPolicy,1542---502---pool22-300-128,unknown,2231,1,7680.0
100k,Baseline60sPolicy,1008---631---pool22-300-128,unknown,131,1,7680.0
100k,Baseline60sPolicy,886---631---pool24-600-512,APIG,490,1,30720.0
100k,Baseline60sPolicy,1578---735---pool26-1000-1024,LTS,4680,1,61440.0
100k,Baseline60sPolicy,1411---741---pool24-600-512,APIG,7900,1,30720.0
100k,Baseline60sPolicy,532---418---pool24-600-512,workflow,2,1,30720.0
100k,Baseline60sPolicy,1363---735---pool22-300-128,LTS,4139,1,7680.0
100k,Baseline60sPolicy,1688---830---pool22-300-128,KAFKA,58,1,7680.0
100k,Baseline60sPolicy,2111---418---pool22-300-128,workflow,69,1,7680.0
100k,Baseline60sPolicy,860---830---pool23-400-256,KAFKA,525,1,15360.0
100k,Baseline60sPolicy,77---735---pool22-300-128,LTS,1925,1,7680.0
100k,Baseline60sPolicy,612---63---pool22-300-128,workflow,1645,1,7680.0
100k,Baseline60sPolicy,1232---418---pool22-300-128,workflow,2,1,7680.0
100k,Baseline60sPolicy,1249---849---custom-300-128,APIG,351,1,7680.0
100k,Baseline60sPolicy,944---173---custom.image.gpu-25800-32768,unknown,381,1,1966080.0
100k,Baseline60sPolicy,1317---418---pool22-300-128,TIMER,2,1,7680.0
100k,Baseline60sPolicy,802---502---pool22-300-128,unknown,193,1,7680.0
100k,Baseline60sPolicy,687---502---pool22-300-128,unknown,193,1,7680.0
100k,Baseline60sPolicy,1413---631---pool22-300-128,unknown,1251,1,7680.0
100k,Baseline60sPolicy,2134---777---pool23-400-256,unknown,432,1,15360.0
100k,Baseline60sPolicy,1853---1084---pool22-300-128,TIMER,7,1,7680.0
100k,Baseline60sPolicy,1397---157---pool23-400-256,unknown,13,1,15360.0
100k,Baseline60sPolicy,7---63---pool23-400-256,workflow,18,1,15360.0
100k,Baseline60sPolicy,593---1120---custom-1000-1024,OBS,590,1,61440.0
100k,Baseline60sPolicy,979---1111---pool22-300-128,workflow,1,1,7680.0
100k,Baseline60sPolicy,743---418---pool22-300-128,workflow,1,1,7680.0
100k,Baseline60sPolicy,137---631---pool23-400-256,OBS,1159,1,15360.0
100k,Baseline60sPolicy,1495---631---pool22-300-128,unknown,471,1,7680.0
100k,Baseline60sPolicy,1582---794---pool22-300-128,TIMER,10,1,7680.0
100k,Baseline60sPolicy,438---631---pool22-300-128,APIG,2184,1,7680.0
100k,Baseline60sPolicy,810---130---pool22-300-128,unknown,2,1,7680.0
100k,Baseline60sPolicy,899---173---custom.image.gpu-25800-32768,unknown,315,1,1966080.0
100k,Baseline60sPolicy,587---63---pool22-300-128,workflow,18,1,7680.0
100k,Baseline60sPolicy,1029---63---pool23-400-256,workflow,18,1,15360.0
100k,Baseline60sPolicy,547---793---pool22-300-128,TIMER,1,1,7680.0
100k,Baseline60sPolicy,1284---753---pool22-300-128,TIMER,1,1,7680.0
100k,Baseline60sPolicy,1512---1101---pool22-300-128,TIMER,1,1,7680.0
100k,Baseline60sPolicy,2080---794---pool22-300-128,TIMER,1,1,7680.0
100k,Baseline60sPolicy,1119---63---pool24-600-512,workflow,178,1,30720.0
100k,Baseline60sPolicy,167---296---pool22-300-128,TIMER,1,1,7680.0
100k,Baseline60sPolicy,2028---481---pool22-300-128,TIMER,1,1,7680.0
100k,Baseline60sPolicy,426---631---pool22-300-128,unknown,257,1,7680.0
100k,Baseline60sPolicy,966---109---pool22-300-128,TIMER,1,1,7680.0
100k,Baseline60sPolicy,1054---1031---pool26-1000-1024,OBS,324,1,61440.0
100k,Baseline60sPolicy,416---753---pool22-300-128,TIMER,1,1,7680.0
100k,Baseline60sPolicy,1613---493---pool22-300-128,workflow,136,1,7680.0
100k,Baseline60sPolicy,1449---753---pool22-300-128,TIMER,1,1,7680.0
100k,Baseline60sPolicy,1927---753---pool22-300-128,TIMER,1,1,7680.0
100k,Baseline60sPolicy,1132---559---pool22-300-128,TIMER,1,1,7680.0
100k,Baseline60sPolicy,1870---753---pool22-300-128,TIMER,1,1,7680.0
100k,Baseline60sPolicy,1493---339---pool22-300-128,TIMER,1,1,7680.0
100k,Baseline60sPolicy,1585---311---pool22-300-128,TIMER,1,1,7680.0
100k,Baseline60sPolicy,745---320---pool23-400-256,APIG,55,1,15360.0
100k,Baseline60sPolicy,1361---1136---pool22-300-128,LTS,133,1,7680.0
100k,Baseline60sPolicy,400---418---pool22-300-128,workflow,1,1,7680.0
100k,Baseline60sPolicy,285---130---pool22-300-128,unknown,1,1,7680.0
100k,Baseline60sPolicy,1956---646---pool22-300-128,TIMER,1,1,7680.0
100k,Baseline60sPolicy,168---499---pool22-300-128,TIMER,2,1,7680.0
100k,Baseline60sPolicy,577---631---pool22-300-128,APIG,7,1,7680.0
100k,Baseline60sPolicy,211---818---pool24-600-512,APIG,85,1,30720.0
100k,Baseline60sPolicy,240---130---pool22-300-128,unknown,1,1,7680.0
100k,Baseline60sPolicy,477---240---pool22-300-128,unknown,14,1,7680.0
100k,Baseline60sPolicy,718---241---pool22-300-128,TIMER,1,1,7680.0
100k,Baseline60sPolicy,1503---735---pool22-300-128,LTS,32,1,7680.0
100k,Baseline60sPolicy,1669---525---pool22-300-128,TIMER,1,1,7680.0
100k,Baseline60sPolicy,272---525---pool22-300-128,TIMER,1,1,7680.0
100k,Baseline60sPolicy,1779---113---pool22-300-128,TIMER,1,1,7680.0
100k,Baseline60sPolicy,396---726---pool22-300-128,TIMER,2,1,7680.0
100k,Baseline60sPolicy,1023---535---pool24-600-512,TIMER,1,1,30720.0
100k,Baseline60sPolicy,8---470---pool23-400-256,APIG,43,1,15360.0
